MR,CR,POP,GEN,NORMGENA,NORMGENB
0.6,0.4,30,17205,0.9281067054,0.9532006528
0.6,0.4,40,11177,0.953295475,0.9594632333
0.6,0.4,50,8406,0.9648744531,0.9618913773
0.6,0.4,60,9189,0.9616025874,0.9500099737
0.6,0.4,70,8913,0.9627558887,0.9434300481
0.6,0.4,80,6146,0.9743181524,0.955419349
0.6,0.4,90,6358,0.9734322832,0.948116783
0.6,0.4,100,5177,0.9783672429,0.9530601142
0.6,0.6,10,28180,0.8822462633,0.9744491794
0.6,0.6,20,12447,0.9479886174,0.9774285973
0.6,0.6,30,9678,0.9595592383,0.9736748572
0.6,0.6,40,6210,0.9740507202,0.9774775592
0.6,0.6,50,6548,0.9726383439,0.9703146251
0.6,0.6,60,5008,0.979073431,0.9727554629
0.6,0.6,70,4049,0.9830807353,0.9743013873
0.6,0.6,80,4557,0.9809579923,0.966945326
0.6,0.6,90,3634,0.9848148659,0.9703454529
0.6,0.6,100,4398,0.9816223941,0.9601233113
0.6,0.8,10,16112,0.9326739458,0.9853912413
0.6,0.8,20,10648,0.9555059692,0.9806909058
0.6,0.8,30,7379,0.9691659041,0.9799283707
0.6,0.8,40,7215,0.9698511991,0.9738326231
0.6,0.8,50,5745,0.9759937822,0.9739550277
0.6,0.8,60,4350,0.9818229682,0.9763351165
0.6,0.8,70,3254,0.9864027445,0.9793471756
0.6,0.8,80,4038,0.9831267002,0.9707099465
0.6,0.8,90,3226,0.9865197461,0.9736748572
0.6,0.8,100,2570,0.9892609261,0.9766977967
0.8,0.2,10,239313,0,0.7830147792
0.8,0.2,20,225238,0.05881418895,0.591553178
0.8,0.2,30,181380,0.2420804553,0.5066279808
0.8,0.2,40,199819,0.1650307338,0.2752960377
0.8,0.2,50,156288,0.3469305888,0.2914679481
0.8,0.2,60,133005,0.4442215843,0.2764257866
0.8,0.2,70,125862,0.474069524,0.2011660169
0.8,0.2,80,123771,0.4828070351,0.1022141627
0.8,0.2,90,102257,0.5727060377,0.1655517273
0.8,0.2,100,110290,0.5391391191,0
0.8,0.4,10,202878,0.1522483108,0.8160504125
0.8,0.4,20,132173,0.4476982028,0.7603173452
0.8,0.4,30,88182,0.6315202266,0.7601360051
0.8,0.4,40,88189,0.6314909763,0.6801559525
0.8,0.4,50,73504,0.6928541283,0.6667694261
0.8,0.4,60,63650,0.7340303285,0.6537310726
0.8,0.4,70,68144,0.7152515743,0.5674965999
0.8,0.4,80,69092,0.711290235,0.4988339831
0.8,0.4,90,72155,0.6984910974,0.4111932179
0.8,0.4,100,49621,0.7926523005,0.5500861365
0.8,0.6,10,156804,0.3447744168,0.8578257322
0.8,0.6,20,92710,0.6125993991,0.8318795902
0.8,0.6,30,57172,0.7610994806,0.8444863542
0.8,0.6,40,58000,0.7576395766,0.7896454801
0.8,0.6,50,49878,0.7915783932,0.7738779581
0.8,0.6,60,40974,0.8287848968,0.7770931181
0.8,0.6,70,37819,0.8419684681,0.7599664521
